,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel
11,SVC,0.7100963552576456,0.7443112801177317,0.7692291579388354,0.019842246064098533,1,0.5,rbf
37,SVC,0.7083953680727875,0.7355167413231929,0.77501047339757,0.027754234344546207,10,0.01,rbf
32,SVC,0.700827129859388,0.7314586488780037,0.7677209886887306,0.027175458781029695,5,0.01,rbf
1,SVC,0.6971050454921424,0.7303773645709131,0.7787390029325514,0.03461744494982481,2,,linear
9,SVC,0.6942514474772539,0.7301353485224453,0.7804147465437787,0.03506193780023478,10,,linear
4,SVC,0.6947477253928867,0.7300163277582632,0.7807498952660242,0.03482170521920965,5,,linear
7,SVC,0.694789081885856,0.7298141643302932,0.7794930875576036,0.034521808890053164,8,,linear
27,SVC,0.7026881720430107,0.7297867723674175,0.7664641809803101,0.025142442984949977,4,0.01,rbf
5,SVC,0.6940446650124069,0.7297492829750893,0.7796187683284457,0.03479499736498138,6,,linear
3,SVC,0.6955748552522746,0.7297428378073538,0.7792417260159195,0.03405664791319175,4,,linear
8,SVC,0.6926799007444169,0.7297021258311581,0.7797863426895685,0.035123116270617843,9,,linear
6,SVC,0.6935483870967742,0.7296415412544445,0.7799120234604106,0.03484943973851259,7,,linear
2,SVC,0.6940446650124068,0.7293348586896974,0.7799120234604106,0.03472089667156377,3,,linear
0,SVC,0.6955748552522747,0.7286225602354635,0.7737117720988689,0.03373688153300537,1,,linear
22,SVC,0.6993382961124897,0.7277875887553307,0.7632383745286972,0.025110913871381726,3,0.01,rbf
16,SVC,0.6955173858399664,0.7240288743514549,0.7567029744449099,0.022235743438258862,2,0.5,rbf
17,SVC,0.6971464019851117,0.7225331657589722,0.7551110180142437,0.022650987897139586,2,0.01,rbf
31,SVC,0.6823209049015502,0.7211911744169809,0.755906996229577,0.026524948950171667,5,0.5,rbf
21,SVC,0.6914118139924592,0.7211008346492218,0.74694176790951,0.023603751129331656,3,0.5,rbf
10,SVC,0.6773774612484289,0.7208609669899991,0.7559069962295768,0.027688250851222576,1,1,rbf
26,SVC,0.6817762882279012,0.7207911443395314,0.7552785923753667,0.026260945412550637,4,0.5,rbf
36,SVC,0.6784248010054461,0.7204119536377601,0.755906996229577,0.02768715767826241,10,0.5,rbf
12,SVC,0.6879239040529364,0.7130275101242842,0.7424172601591956,0.020225389323212682,1,0.01,rbf
38,SVC,0.6866418527708851,0.7124430408301377,0.742375366568915,0.020896243640701768,10,0.001,rbf
15,SVC,0.6638877251780476,0.7085551008131652,0.7389991728701406,0.031094006570811055,2,1,rbf
30,SVC,0.6631755341432761,0.7084126626062109,0.7389991728701406,0.03129925048601776,5,1,rbf
20,SVC,0.6631755341432761,0.7084126626062109,0.7389991728701406,0.03129925048601776,3,1,rbf
25,SVC,0.6631755341432761,0.7084126626062109,0.7389991728701406,0.03129925048601776,4,1,rbf
35,SVC,0.6620025136154168,0.7081780585006391,0.7389991728701406,0.03163998845535914,10,1,rbf
33,SVC,0.6758064516129032,0.7027483269418754,0.7357980728948471,0.021500822400813288,5,0.001,rbf
28,SVC,0.6734904880066169,0.7000022558087075,0.734080435693339,0.021820816218339263,4,0.001,rbf
23,SVC,0.6705955334987593,0.6962600840020196,0.7287599497276918,0.020902984571497387,3,0.001,rbf
14,SVC,0.6656327543424319,0.6891992953283277,0.7237746124842901,0.02165125982998327,1,0.0001,rbf
18,SVC,0.6656327543424319,0.6891419333354818,0.723229995810641,0.02143203595024079,2,0.001,rbf
13,SVC,0.6656327543424319,0.6890400996852609,0.723229995810641,0.0215215947615706,1,0.001,rbf
19,SVC,0.6656327543424319,0.6890317209672048,0.7231881022203602,0.021496736991002883,2,0.0001,rbf
24,SVC,0.6655913978494624,0.6890234496686108,0.7231881022203602,0.021505744688277068,3,0.0001,rbf
39,SVC,0.6656327543424319,0.6889982060949802,0.723229995810641,0.021548928024037413,10,0.0001,rbf
29,SVC,0.6656327543424319,0.688989827376924,0.7231881022203602,0.02146631847737808,4,0.0001,rbf
34,SVC,0.6656327543424319,0.6889646912227556,0.7231881022203602,0.021482617751384235,5,0.0001,rbf
